species;xcoord;ycoord
ANGFRA;814677.2175;6284920.327
ANGFRA;814806.3104;6285208.985
ANGFRA;756408.4917;6308856.538
ANGFRA;767236.3269;6315682.211
ANGFRA;763146.0686;6292245.194
ANGFRA;741628.6844;6305090.618
ANGFRA;768488.485;6291131.939
ANGFRA;685062.9148;6157457.562
ANGFRA;807144.966;6375897.986
ANGFRA;700193.192;6176870.639
ANGFRA;632479.3;6197512.5
ANGFRA;638749.6139;6210339.647
ANGFRA;811651.987;6387941.948
ANGFRA;785535.9405;6274367.848
ANGFRA;828385.3963;6293814.651
ANGFRA;634305.8415;6199476.697
ANGFRA;646034.6214;6195544.055
ANGFRA;646104.7431;6195544.885
ANGFRA;646097.3073;6195553.569
ANGFRA;646077.0405;6195553.11
ANGFRA;785583.9279;6274367.213
ANGFRA;769575.1103;6304835.107
ANGFRA;754963.3081;6299432.408
ANGFRA;772345.7432;6352679.757
ANGFRA;809058.9128;6344574.571
ANGFRA;707288.3867;6151218.31
ANGFRA;679759.0962;6155951.444
ANGFRA;707270.317;6151245.1
ANGFRA;679040.2446;6155108.264
ANGFRA;690644.2192;6161095.56
ANGFRA;690764.6849;6161068.649
ANGFRA;690797.0628;6161150.887
ANGFRA;764740.7069;6307471.41
ANGFRA;809003.3339;6279342.037
ANGFRA;731517.4898;6297001.48
ANGFRA;659675.7883;6171429.24
ANGFRA;749298.0698;6271084.368
ANGFRA;758701.9346;6316903.695
ANGFRA;668674.1206;6245677.079
ANGFRA;780702.8434;6327329.083
ANGFRA;786735.0655;6331676.847
ANGFRA;769080.812;6307466.317
ANGFRA;638819.9375;6205194.563
ANGFRA;723652.768;6293030.042
ANGFRA;796928.7404;6337654.016
ANGFRA;796903.3069;6337642.514
ANGFRA;720057.4911;6278849.484
ANGFRA;799829.1333;6313040.577
ANGFRA;763113.5053;6292209.978
ANGFRA;642009.9969;6212041.733
ANGFRA;786481.7386;6301197.908
ANGFRA;784866.0937;6340624.98
ANGFRA;683164.9391;6176108.447
ANGFRA;772582.0467;6316388.143
ANGFRA;745192.4903;6268551.027
ANGFRA;667854.186;6218867.009
ANGFRA;789987.733;6297969.663
ANGFRA;795385.427;6322370.046
ANGFRA;812426.8093;6317017.721
ANGFRA;794020.4158;6311406.243
ANGFRA;631494.2713;6199205.552
ANGFRA;645149.6744;6218355.367
ANGFRA;812659.0177;6374183.05
ANGFRA;811387.0072;6382876.994
ANGFRA;811081.0272;6387246.992
ANGFRA;811558.9725;6386658.991
ANGFRA;808364.0305;6386073.013
ANGFRA;676152.2397;6207785.214
ANGFRA;676411.1438;6207462.055
ANGFRA;811464.009;6386975.045
ANGFRA;764094.4132;6291964.168
ANGFRA;808492.095;6279354.692
ANGFRA;642739.688;6228312.928
ANGFRA;643566.0402;6228926.941
ANGFRA;643589.1969;6229177.338
ANGFRA;647669.3937;6222999.676
ANGFRA;642958.7196;6228784.374
ANGFRA;643829.4329;6221829.386
ANGFRA;638799.8172;6222160.548
ANGFRA;643023.7397;6228829.046
ANGFRA;643398.1484;6226124.163
ANGFRA;643375.8476;6228749.359
ANGFRA;643701.0524;6229457.657
ANGFRA;649115.6675;6219851.2
ANGFRA;642867.5252;6227999.878
ANGFRA;649120.8338;6219792.265
ANGFRA;649107.2009;6219837.684
ANGFRA;642912.7489;6228009.714
ANGFRA;643107.5801;6224607.56
ANGFRA;651763.1714;6218238.895
ANGFRA;642672.5286;6227903.885
ANGFRA;648519.1324;6222628.396
ANGFRA;651151.254;6218031.148
ANGFRA;642766.3472;6228325.283
ANGFRA;643647.2204;6227317.262
ANGFRA;643407.365;6226266.131
ANGFRA;643389.6549;6226465.376
ANGFRA;649116.4948;6220367.278
ANGFRA;643147.6687;6228764.938
ANGFRA;649129.2179;6219795.326
ANGFRA;642892.9447;6228010.095
ANGFRA;649422.9012;6221697.364
ANGFRA;643661.4596;6227047.635
ANGFRA;643660.364;6227022.954
ANGFRA;649405.3738;6221724.181
ANGFRA;805916.7999;6308972.199
ANGFRA;693021.4263;6204415.056
ANGFRA;693023.2657;6204412.897
ANGFRA;693255.9624;6204448.202
ANGFRA;693707.7373;6204612.072
ANGFRA;693019.1072;6204424.759
ANGFRA;693014.8925;6204418.506
ANGFRA;693342.6984;6204433.931
ANGFRA;693015.1965;6204410.234
ANGFRA;666657.9739;6228325.709
ANGFRA;671173.2011;6241538.96
ANGFRA;647560.2888;6196190.477
ANGFRA;746483.8156;6316212.063
ANGFRA;793887.3327;6367029.866
ANGFRA;808045.2862;6279503.605
ANGFRA;790707.3952;6351740.648
ANGFRA;830046.5236;6295492.457
ANGFRA;830054.4145;6295587.321
ANGFRA;828883.7612;6296609.651
ANGFRA;803929.1981;6320391.956
ANGFRA;825520.5676;6299750.031
ANGFRA;825526.4225;6299803.522
ANGFRA;790636.9833;6351871.111
ANGFRA;825518.526;6299739.152
ANGFRA;657198.4269;6209775.451
ANGFRA;659665.9646;6219753.444
ANGFRA;639038.9968;6210901.504
ANGFRA;689311.8074;6200417.863
ANGFRA;703019.9717;6165227.535
ANGFRA;703188.6883;6165766.129
ANGFRA;763078.783;6291960.289
ANGFRA;702508.3244;6171216.035
ANGFRA;764199.2926;6303183.223
