"HIEVIR"	"LACBIL"	"NATMAU"	"NATNAT"	"PODMUR"	"ZAMLON"	"CORGIR"	"ANGFRA"	"MALMON"	"PODLIO"	"RHISCA"	"VIPASP"	"CHASTR"	"TARMAU"	"TIMLEP"	"PSAALG"	"PSAEDW"	"EMYORB"	"MAULEP"	"CORAUS"	"HEMTUR"	"ZOOVIV"	"LACAGI"	"VIPBER"
"ID1213"	0	2	3	1	0	0	1	2	5	3	1	0	1	4	15	10	2	0	0	0	0	0	0	0
"ID1214"	0	0	9	3	1	0	1	2	16	7	5	0	1	50	9	52	3	2	7	0	0	0	0	0
"ID1215"	0	2	18	2	3	0	0	1	16	54	8	0	1	163	73	86	19	5	5	0	0	0	0	0
"ID1216"	0	0	18	3	1	0	0	3	21	16	8	0	0	8	2	2	4	5	21	0	0	0	0	0
"ID1249"	0	0	0	0	44	1	0	12	0	0	0	32	0	0	0	0	0	0	0	2	0	12	9	0
"ID1250"	8	51	26	13	125	0	1	29	6	6	0	30	0	0	0	0	0	0	0	4	0	27	5	0
"ID1251"	1	23	8	10	16	9	5	18	30	78	21	12	0	18	21	9	0	0	0	1	0	0	0	0
"ID1252"	0	2	14	3	18	4	0	11	25	25	3	3	0	25	11	22	0	0	0	0	0	0	0	0
"ID1253"	0	1	7	1	3	0	0	3	6	8	4	0	0	14	2	18	3	0	0	0	0	0	0	0
"ID1254"	0	0	11	3	7	0	2	6	22	44	4	0	15	60	14	127	0	0	39	0	0	0	0	0
"ID1255"	0	9	47	4	13	0	1	6	68	162	15	0	0	108	52	88	12	0	74	0	0	0	0	0
"ID1256"	0	1	16	2	1	0	0	4	42	100	12	0	0	42	50	28	1	0	56	0	0	0	0	0
"ID1287"	0	0	0	0	21	0	0	9	0	0	0	6	0	0	0	0	0	0	0	3	0	5	18	0
"ID1288"	0	1	0	0	16	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	4	0
"ID1289"	7	0	2	1	39	1	0	6	0	0	0	14	0	0	0	0	0	0	0	0	0	10	5	0
"ID1290"	11	9	4	0	35	2	0	0	4	12	0	8	1	3	32	2	0	0	0	0	0	0	1	0
"ID1291"	6	29	23	0	48	6	13	12	8	29	3	7	0	18	20	22	0	0	0	0	0	0	0	0
