"ID"	"area"	"X_centro"	"Y_centro"	"centrodata_X"	"centrodata_Y"
"1"	"ID1007"	83284966.8964587	606791.3642979	6232057.21142297	607001.749961362	6233399.75810204
"2"	"ID1008"	99778291.5918206	616461.20220283	6231307.97828191	618090.076219451	6230975.60960778
"3"	"ID1009"	1e+08	626450.876703	6231297.18568999	624812.324740217	6230579.76734361
"4"	"ID1010"	1e+08	636450.876703	6231297.18568999	635303.015533107	6232318.49597035
"5"	"ID1011"	1e+08	646450.876703	6231297.18568999	645606.18562339	6231130.12722013
"6"	"ID1012"	1e+08	656450.876703	6231297.18568999	656259.429525321	6230873.84437052
"7"	"ID1013"	1e+08	666450.876703	6231297.18568999	665925.460657708	6230836.56579777
"8"	"ID1014"	1e+08	676450.876703	6231297.18568999	676102.15328861	6231930.36045958
"9"	"ID1015"	1e+08	686450.876703	6231297.18568999	686871.507672524	6232693.64210591
"10"	"ID1016"	1e+08	696450.876703	6231297.18568999	697507.686606348	6230943.22374428
"11"	"ID1017"	1e+08	706450.876703	6231297.18568999	706116.483142899	6231121.00331128
"12"	"ID104"	1e+08	776450.876703	6461297.18568999	778361.238283074	6461407.87395183
"13"	"ID1048"	69591509.6018433	617917.81637535	6221445.44118045	616984.813417223	6221295.61451076
"14"	"ID1049"	1e+08	626450.876703	6221297.18568999	626109.79432304	6223185.30878908
"15"	"ID1050"	1e+08	636450.876703	6221297.18568999	638514.788568359	6219757.13010385
"16"	"ID1051"	1e+08	646450.876703	6221297.18568999	647628.441728724	6221656.3406356
"17"	"ID1052"	1e+08	656450.876703	6221297.18568999	655076.357284064	6221239.00928884
"18"	"ID1053"	1e+08	666450.876703	6221297.18568999	666276.236529753	6222432.03948579
"19"	"ID1054"	1e+08	676450.876703	6221297.18568999	675231.772681624	6221408.76775977
"20"	"ID1055"	1e+08	686450.876703	6221297.18568999	686467.662427894	6223724.07129678
"21"	"ID1056"	1e+08	696450.876703	6221297.18568999	696087.718067073	6222035.78980839
"22"	"ID1057"	75465471.515644	705398.0678426	6221914.80547455	705413.937390918	6223166.35891494
"23"	"ID1089"	1e+08	626450.876703	6211297.18568999	627361.208807279	6213344.96864516
"24"	"ID109"	82956424.0905823	827069.30173011	6460727.86268069	826563.962704833	6461351.46603738
"25"	"ID1090"	1e+08	636450.876703	6211297.18568999	637214.233541177	6210727.16380014
"26"	"ID1091"	1e+08	646450.876703	6211297.18568999	645887.993823338	6212495.10826012
"27"	"ID1092"	1e+08	656450.876703	6211297.18568999	656417.024167675	6211481.90104039
"28"	"ID1093"	1e+08	666450.876703	6211297.18568999	666909.841971791	6211425.51482201
"29"	"ID1094"	1e+08	676450.876703	6211297.18568999	676857.086571763	6209566.47854097
"30"	"ID1095"	1e+08	686450.876703	6211297.18568999	686952.472473406	6210115.47012257
"31"	"ID1096"	1e+08	696450.876703	6211297.18568999	698677.721933473	6210836.428886
"32"	"ID110"	1e+08	836450.876703	6461297.18568999	838471.714343724	6460656.55454123
"33"	"ID111"	1e+08	846450.876703	6461297.18568999	841808.13211335	6457565.99673677
"34"	"ID1128"	52760695.8291861	618598.49523982	6201774.60373124	618517.144106415	6199358.03339816
"35"	"ID1129"	1e+08	626450.876703	6201297.18568999	627309.211450032	6199745.37683834
"36"	"ID1130"	1e+08	636450.876703	6201297.18568999	636537.878251308	6201474.10006977
"37"	"ID1131"	1e+08	646450.876703	6201297.18568999	646419.808026105	6199486.68195963
"38"	"ID1132"	1e+08	656450.876703	6201297.18568999	655512.814652705	6200463.47867109
"39"	"ID1133"	1e+08	666450.876703	6201297.18568999	664894.203056142	6202568.33998081
"40"	"ID1134"	1e+08	676450.876703	6201297.18568999	677374.056252303	6198154.68836478
"41"	"ID1135"	1e+08	686450.876703	6201297.18568999	687987.567298888	6199240.37813476
"42"	"ID1136"	1e+08	696450.876703	6201297.18568999	694410.39596125	6203054.39657408
"43"	"ID1168"	97789280.8489502	616538.54021512	6191236.38250211	618794.570644969	6191581.80648383
"44"	"ID1169"	1e+08	626450.876703	6191297.18568999	625486.87439141	6192079.08223505
"45"	"ID1170"	1e+08	636450.876703	6191297.18568999	636037.54401257	6191009.2961685
"46"	"ID1171"	1e+08	646450.876703	6191297.18568999	646448.328280013	6194283.02933684
"47"	"ID1172"	1e+08	656450.876703	6191297.18568999	657443.724191604	6192021.35823733
