ID;X;Y
ID301;324555.433161619;7671443.66617953
ID302;323945.741547597;7671748.35334874
ID303;324568.555532284;7672177.40719801
ID304;324368.819222071;7671078.52432897
ID305;320516.998237278;7670429.19160811
ID306;321591.850143675;7669904.0687547
ID307;320567.369229282;7669844.63807568
ID308;321974.036198745;7669667.58061826
ID309;319224.143299201;7669647.26845683
ID31;347173.741306657;7652949.21941165
ID310;318711.765513241;7669902.56143784
ID311;325952.444901282;7673109.23037785
ID312;325646.402187178;7673766.42395736
ID313;319714.578326965;7669601.78124973
ID314;329915.090685356;7674998.64166056
ID315;329634.69935547;7674497.06894837
ID316;329524.91524079;7675019.05804128
ID317;329926.730909118;7674275.75298603
ID318;330347.531152307;7674732.61541113
ID319;329632.734167651;7673949.05363791
ID32;347712.163941547;7653353.73960684
ID320;329299.505439026;7673429.99376201
ID321;328984.955933205;7672837.10447729
ID322;326673.394444223;7671918.84969893
ID323;348165.814709224;7670290.64545893
ID324;348432.420789551;7670429.07829509
ID325;348750.742720137;7670863.14391547
ID326;349241.652360861;7671650.4581388
ID327;349216.423936278;7672119.17917631
ID328;349088.343418853;7672394.39989297
ID329;349388.937532526;7671563.81960118
ID33;347476.11289582;7650384.22692057
ID330;349773.774500292;7671592.32675791
ID331;349818.726718765;7671253.56765676
ID332;349791.683800382;7671006.26892731
ID333;349853.990291106;7670600.67504672
ID334;349183.508600459;7670226.31544327
ID335;350750.439609675;7664583.32217411
ID336;350731.086839103;7664867.86962581
ID337;350522.55594634;7665242.89504565
ID338;350370.597043273;7665379.7124384
ID339;350175.618225928;7665645.97267241
ID34;347458.916351474;7650163.0233539
ID340;349987.947450251;7666029.55108155
ID341;349827.051032878;7666229.11172866
ID342;349603.114691533;7666457.42929267
ID343;351060.766540716;7664975.46088145
ID344;351431.382334386;7665183.90058287
ID345;342820.333207604;7665880.16708159
ID346;342939.739048685;7665875.56810403
ID347;343065.125061968;7665840.5359534
ID348;343164.122606622;7665789.22147248
ID349;343252.562615201;7665702.99166429
ID35;347810.643023524;7650091.64188149
ID350;343294.974926961;7665640.65620157
ID351;343352.651875348;7665572.30183786
ID352;343423.950966681;7665426.62750786
ID353;343495.498825559;7665296.27467278
ID354;343573.169438684;7665157.99882432
ID355;343657.28439309;7665037.65144882
ID356;343873.114406417;7664719.67046761
ID357;344027.940366459;7664586.84631221
ID358;348705.088808922;7668645.38439668
ID359;349117.725268029;7668949.64021401
ID36;346724.121971477;7651088.66176006
ID360;349300.252824078;7669287.2340633
ID361;349333.267054732;7669543.94764554
ID362;349721.737461473;7669591.5896378
ID363;349479.871204911;7669943.13527078
ID364;349494.232744424;7670305.77848877
ID365;350243.654404615;7670642.40687061
ID366;350268.218126732;7671691.9160112
ID367;348639.736807537;7669988.77967055
ID368;351830.298350979;7663270.4987388
ID369;352074.696293303;7663608.63389189
ID37;347256.918494514;7650928.6545585
ID370;352258.356934146;7663822.4492808
ID371;352547.814522054;7664063.73791151
ID372;352881.627311812;7664287.74677776
ID373;353219.354691103;7664087.33103243
ID374;348723.261140537;7669556.28164372
ID375;348885.01161988;7669265.91305512
ID376;348663.806545312;7668326.71870559
ID377;348887.591534945;7668019.20350579
ID378;348626.926377789;7655352.10265658
ID379;348101.601264258;7654816.94893078
ID38;347304.780464804;7651310.85111302
ID380;348980.428785131;7655355.37525394
ID381;348805.323999699;7655176.9878534
ID382;348630.199224014;7654998.60003263
ID383;348455.094358994;7654820.22216031
ID384;349158.816167079;7655180.26058679
ID385;348983.701618371;7655001.87310017
ID386;348633.472447831;7654645.10742007
ID387;348458.367916969;7654466.71932081
ID388;348283.253301624;7654288.34089227
ID389;348108.14878377;7654109.95232288
ID39;346416.51580451;7652209.9923561
ID390;348811.870526923;7654469.99310009
ID391;348636.746141792;7654291.61482052
ID392;348990.248510178;7654294.88882837
ID393;349872.345540741;7654479.81408228
ID394;349697.241838102;7654301.43671255
ID395;348821.693797554;7653409.50606689
ID396;349175.185900029;7653412.78115098
ID397;351843.53893211;7644791.03976832
ID398;351493.337413278;7644434.25472577
ID399;326889.726866603;7662754.79052981
ID4;353404.803326207;7650310.42470511
ID40;345882.247087645;7651780.11806443
ID400;326639.806715519;7662752.48361942
ID401;325639.923774952;7662743.25406379
ID402;327392.094015357;7662509.42681458
ID403;326892.14444136;7662504.81152845
ID404;326142.193318099;7662497.88831748
ID405;325892.212472941;7662495.58059763
ID406;325642.231392546;7662493.27287098
ID407;327153.655758465;7661257.22032378
ID408;326903.685887448;7661254.91154742
ID409;326653.705782026;7661252.6026719
ID41;345846.57664689;7651340.41640526
ID410;326156.043881591;7660998.00412668
ID42;345439.232747835;7651175.48957006
ID43;345786.360802412;7650970.55236534
ID44;346343.63259554;7651783.73569382
ID45;346812.539325318;7652077.22282779
ID46;348563.547289798;7655082.51645027
ID47;348832.060286033;7654683.64356534
ID48;349012.487090936;7654425.49461862
ID49;352461.074771741;7655564.94121571
ID5;353096.693955988;7650742.51591426
ID50;352759.583601167;7657412.10449013
ID51;352207.31175241;7656594.14930233
ID52;352516.843918051;7656858.89946518
ID53;352540.747244869;7656188.32186701
ID54;352880.790772185;7655708.12350538
ID55;351665.42350171;7658990.7338952
ID56;351339.251551341;7658859.89990043
ID57;352860.407902672;7653287.88872264
ID58;352565.968606658;7652974.54904891
ID59;352228.384748737;7652760.30986365
ID6;352720.738385743;7651135.01255573
ID60;351866.045471022;7653029.16779458
ID61;353094.939514199;7653775.36639646
ID62;353403.193465992;7652723.93157036
ID63;352970.741667435;7652622.76289727
ID64;352521.041127777;7652305.79370427
ID65;353682.640815362;7653966.77273769
ID66;353967.921251825;7654379.40556219
ID67;349944.960644372;7658260.54833631
ID68;350594.447540369;7658565.44880138
ID69;350412.051899354;7660336.62478287
ID7;352006.359151345;7651710.21587253
ID70;350572.678507949;7659791.20467173
ID71;350636.969588975;7659237.63540888
ID72;349827.50906679;7646639.51462339
ID73;349728.021376862;7646282.82905911
ID74;349387.408292349;7646131.13596562
ID75;349164.761603031;7645820.63130161
ID76;349023.749854718;7646626.93776047
ID77;349321.021426052;7646992.37083118
ID78;348815.740157443;7646835.29899897
ID79;348630.350774532;7646591.36533787
ID8;351676.069381292;7651380.11246884
ID80;351997.125447737;7644218.92889299
ID81;351733.052270397;7643961.59565644
ID82;351322.699842837;7643848.52868142
ID83;351013.516960398;7643714.09427202
ID84;351117.4059698;7643474.6012457
ID85;352268.521158671;7643672.76224553
ID86;351703.396743631;7643399.16939877
ID87;351485.628597653;7643224.74865933
ID88;353480.804026621;7654542.85836639
ID89;353761.373448065;7655090.76428864
ID9;353928.944299796;7649674.43872908
ID90;354753.668898724;7654822.6790114
ID91;354511.538901754;7654457.06289693
ID92;354258.934929528;7653774.65006931
ID93;349818.48167444;7649333.66236603
ID94;352304.319357338;7642627.9297091
ID95;352621.49710718;7642754.01989214
ID96;352854.013786131;7642910.04920987
ID97;352942.840932048;7643260.91320015
ID98;352573.440585037;7642378.03706019
ID99;352315.563810458;7642274.9162813
