"RG"	"RN"	"UN"	"Poules"	"Jeunes"	"Nichees"	"NAOdjfm"	"Annee"
"Alpes_internes"	"Queyras"	8420204	50	32	12	0.03	1998
"Alpes_internes"	"Queyras"	8420204	29	16	8	0.68	1999
"Alpes_internes"	"Queyras"	8420204	35	36	13	1.73	2000
"Alpes_internes"	"Queyras"	8420204	51	58	18	-1.04	2001
"Alpes_internes"	"Queyras"	8420204	30	38	17	0.71	2002
"Alpes_internes"	"Queyras"	8420204	42	67	22	0.1	2003
"Alpes_internes"	"Queyras"	8420204	30	25	12	-0.09	2004
"Alpes_internes"	"Queyras"	8420204	31	37	13	0.46	2005
"Alpes_internes"	"Queyras"	8420204	36	41	16	-0.93	2006
"Alpes_internes"	"Queyras"	8420204	23	33	11	1.25	2007
"Alpes_internes"	"Queyras"	8420205	8	13	4	2.1	1990
"Alpes_internes"	"Queyras"	8420205	14	28	9	0.62	1991
"Alpes_internes"	"Queyras"	8420205	14	2	2	1.95	1992
"Alpes_internes"	"Queyras"	8420205	7	11	3	1.92	1993
"Alpes_internes"	"Queyras"	8420205	33	33	11	0.87	1994
"Alpes_internes"	"Queyras"	8420205	30	61	15	1.37	1995
"Alpes_internes"	"Queyras"	8420205	15	34	10	-1.46	1996
"Alpes_internes"	"Queyras"	8420205	13	24	7	0.79	1997
"Alpes_internes"	"Queyras"	8420205	5	1	1	0.03	1998
"Alpes_internes"	"Queyras"	8420205	5	4	1	0.68	1999
"Alpes_internes"	"Queyras"	8420205	6	4	1	1.73	2000
"Alpes_internes"	"Queyras"	8420205	9	10	4	-1.04	2001
"Alpes_internes"	"Queyras"	8420205	8	10	3	0.71	2002
"Alpes_internes"	"Queyras"	8420205	9	7	2	0.1	2003
"Alpes_internes"	"Queyras"	8420205	12	6	2	-0.09	2004
"Alpes_internes"	"Queyras"	8420205	9	14	3	0.46	2005
"Alpes_internes"	"Queyras"	8420205	8	2	2	-0.93	2006
"Alpes_internes"	"Queyras"	8420205	6	9	3	1.25	2007
"Alpes_internes"	"Embrunais"	8420302	15	23	10	0.1	2003
"Alpes_internes"	"Embrunais"	8420302	26	34	13	-0.09	2004
"Alpes_internes"	"Embrunais"	8420302	22	28	9	0.46	2005
"Alpes_internes"	"Embrunais"	8420302	19	23	7	-0.93	2006
"Alpes_internes"	"Embrunais"	8420302	17	24	11	1.25	2007
"Alpes_internes"	"Haut_Bassin_du _Verdon"	8420601	19	16	8	0.1	2003
"Alpes_internes"	"Haut_Bassin_du _Verdon"	8420601	7	7	7	-0.09	2004
"Alpes_internes"	"Haut_Bassin_du _Verdon"	8420601	6	7	4	0.46	2005
"Alpes_internes"	"Haut_Bassin_du _Verdon"	8420601	14	9	4	-0.93	2006
"Alpes_internes"	"Haut_Bassin_du _Verdon"	8420601	10	8	4	1.25	2007
"Alpes_internes"	"Haut_Bassin_du _Verdon"	8420602	4	6	3	1.25	2007
"Alpes_internes"	"Haut_Bassin_du_Var"	8420701	13	11	6	-0.09	2004
"Alpes_internes"	"Haut_Bassin_du_Var"	8420701	19	25	13	0.46	2005
"Alpes_internes"	"Haut_Bassin_du_Var"	8420701	11	8	5	-0.93	2006
"Alpes_internes"	"Haut_Bassin_du_Var"	8420701	3	3	1	1.25	2007
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420801	6	10	2	-0.09	2004
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420801	4	7	3	0.46	2005
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420801	11	27	7	-0.93	2006
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420801	17	26	12	1.25	2007
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	19	38	15	2.1	1990
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	8	14	7	0.62	1991
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	17	10	6	1.95	1992
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	12	8	5	1.92	1993
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	4	4	2	0.87	1994
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	18	28	9	1.37	1995
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	10	3	1	-1.46	1996
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	12	7	4	0.79	1997
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	10	17	5	0.03	1998
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	8	19	5	0.68	1999
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	16	26	10	1.73	2000
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	9	4	3	-1.04	2001
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	14	7	4	0.71	2002
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	19	24	11	0.1	2003
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	34	24	20	-0.09	2004
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	16	8	5	0.46	2005
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	18	14	8	-0.93	2006
"Alpes_internes"	"Haut_Bassin_de_la_Tinee"	8420802	28	35	16	1.25	2007
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	4	10	3	2.1	1990
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	7	7	4	0.62	1991
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	4	2	1	1.95	1992
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	2	1	1	1.92	1993
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	3	5	2	0.87	1994
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	7	14	6	1.37	1995
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	3	9	2	-1.46	1996
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	2	3	1	0.79	1997
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	2	4	1	0.03	1998
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	3	8	3	0.68	1999
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	2	3	2	1.73	2000
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	2	4	2	-1.04	2001
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	3	4	2	0.71	2002
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	5	16	5	0.1	2003
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	9	8	6	-0.09	2004
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	6	6	3	0.46	2005
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	9	11	3	-0.93	2006
"Alpes_internes"	"Haut_Bassin_de_la_Vesubie"	8420901	10	20	6	1.25	2007
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421001	18	36	9	-0.09	2004
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421001	13	18	8	0.46	2005
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421001	19	25	8	-0.93	2006
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421001	25	39	13	1.25	2007
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421002	5	10	3	-0.09	2004
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421002	3	0	0	0.46	2005
"Alpes_internes"	"Haut_Bassin_de_la_Roya"	8421002	1	1	1	-0.93	2006
