"ACTR"	"CIMA"	"COCH"	"COCO"	"COFR"	"ESAS"	"FOMA"	"FRPO"	"GEST"	"HYBO"	"MAMA"	"PADO"	"PEAS"	"PHBO"	"PLCU"	"PYJO"	"SATE"	"STPI"	"TEBO"	"TUNI"	"ZOBO"	"ZOOL"
"64"	6	0	0	4	0	0	2	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0
"65"	25	0	0	0	0	1	7	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0
"66"	6	0	0	0	0	15	2	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
"67"	0	0	0	0	0	0	6	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0
"68"	7	0	0	0	2	0	10	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0
"69"	2	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	8	0	0	1	1	0
"70"	1	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0
"71"	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"72"	5	0	0	0	2	8	6	0	0	0	0	0	0	0	8	0	1	0	0	0	3	0
"73"	3	0	0	0	0	3	4	0	4	0	0	3	0	0	0	1	2	0	1	0	2	1
"74"	3	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
"75"	2	0	0	0	2	6	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"76"	3	0	0	0	1	0	6	0	3	0	0	7	0	0	3	3	0	0	0	0	0	0
"77"	2	0	0	0	10	1	3	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0
"78"	1	1	0	0	4	0	6	0	2	0	0	0	0	0	0	3	0	1	0	0	2	0
"79"	0	0	0	0	6	0	2	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0
"80"	5	2	0	0	1	0	0	0	6	0	0	0	0	0	0	4	2	0	1	0	4	0
"81"	34	0	0	2	2	0	4	0	8	2	0	0	0	0	0	2	2	0	0	0	0	0
"82"	2	0	0	0	1	0	12	0	31	0	0	0	0	0	0	1	4	0	0	0	0	0
"83"	2	0	0	0	0	2	6	0	5	0	0	0	0	0	0	4	1	0	0	0	3	0
"84"	0	0	0	0	2	5	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0
"85"	4	0	0	0	0	2	4	0	1	0	0	0	0	0	0	4	1	0	0	0	3	2
"86"	2	0	0	0	0	7	2	0	0	1	0	0	0	0	0	3	0	0	0	0	6	0
"87"	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	4	1	0	0	0	0	0
"88"	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0
"89"	4	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0
"90"	3	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	4	0	0	0	3	0
"91"	0	0	0	0	0	1	8	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0
"92"	6	0	0	0	0	5	10	0	0	0	0	1	0	0	0	0	4	0	0	0	3	0
"93"	4	0	0	2	1	2	4	0	3	0	0	1	0	0	0	0	4	0	0	0	1	0
"94"	4	0	0	0	1	15	2	0	4	0	0	0	0	0	0	4	2	0	0	0	0	0
"95"	3	0	0	0	0	5	2	0	2	0	0	2	0	0	0	2	0	0	1	0	7	1
"96"	8	0	0	2	1	6	6	0	3	0	0	0	0	0	0	4	2	0	0	0	1	1
"97"	2	0	0	0	1	1	4	0	1	0	0	0	0	0	0	3	3	0	3	0	3	2
"98"	1	0	0	0	6	4	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
"99"	2	0	0	0	1	8	6	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
"100"	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	6	0
"101"	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	7	0
"102"	2	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	4	0	0	0	1	0
"103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"104"	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	2	0
"105"	2	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0
"106"	4	2	0	0	0	0	2	0	3	3	0	0	0	0	0	3	3	0	1	0	4	2
"107"	1	0	0	0	0	0	6	0	1	0	0	2	0	0	0	4	3	0	0	0	3	5
"108"	2	0	0	0	0	0	6	0	1	1	0	0	0	0	0	3	1	0	0	0	6	2
"109"	2	0	0	0	2	0	4	0	2	1	0	2	0	0	2	5	1	0	0	0	4	2
"110"	1	0	0	0	2	0	6	0	2	1	0	0	0	0	0	8	2	0	0	0	2	0
"111"	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	4	1	0	0	0	2	5
"112"	1	0	0	0	1	7	4	0	2	0	0	0	0	0	0	3	0	0	0	0	4	2
"113"	1	1	0	0	2	24	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"114"	7	0	0	0	1	22	6	0	4	0	0	7	0	0	0	5	6	0	0	0	2	0
"115"	2	0	0	0	0	7	4	0	0	0	0	15	0	6	0	2	4	0	0	0	3	0
"116"	3	1	0	0	1	0	6	0	2	3	0	0	0	0	0	8	2	5	0	0	7	0
"117"	2	1	0	0	0	0	6	0	0	3	0	0	0	0	0	0	2	0	0	0	2	0
