"PLOT"	"X5_min"	"X10_min"	"X15_min"	"total"	"year"	"julian_date"	"altitude"	"PROPNATFOR"
283	3	3	3	3	2005	332	132	0
284	6	7	5	8	2005	332	141	0
285	5	2	3	5	2005	332	146	0
286	2	2	2	3	2005	332	88	0
287	3	4	2	4	2005	332	85	0
288	2	2	3	3	2005	332	99	0
289	1	2	1	2	2005	349	177	0
290	0	1	1	2	2005	349	187	0
291	1	1	1	1	2005	349	115	0
292	1	1	1	2	2005	349	39	0
293	3	3	3	3	2005	349	263	0
294	2	3	3	3	2005	349	328	0
295	2	2	0	2	2005	349	236	0
296	4	3	4	4	2005	349	106	0
297	2	1	1	2	2005	349	185	0
298	1	1	1	1	2005	349	161	0
299	2	2	1	2	2005	349	37	0
300	4	4	4	4	2005	326	223	0
301	4	5	3	5	2005	331	477	0.723038242688898
308	4	2	0	4	2005	318	215	0.898884758364312
309	3	3	2	3	2005	318	293	0.163454410674574
310	2	0	1	3	2005	318	305	0.224137931034483
311	1	1	0	2	2005	318	317	0.393139841688654
312	2	1	2	3	2005	318	318	0.823275862068966
317	2	2	1	3	2005	318	397	0.824988723500226
318	4	2	0	4	2005	318	177	0.26219512195122
321	3	3	3	3	2005	326	187	0
322	3	3	3	3	2005	326	190	0
323	2	3	3	4	2005	325	297	0.0284181528200667
327	1	0	1	2	2005	325	556	0.125946848119142
329	2	1	1	3	2005	325	494	0.168386192841676
331	1	2	1	3	2005	321	372	0.0486958756263652
333	1	0	1	2	2005	321	404	0.0308201732042792
335	0	0	1	1	2005	325	328	0
337	1	2	0	3	2005	325	252	0
340	0	0	3	3	2005	325	348	0
342	2	1	2	2	2005	321	947	0.632915360501567
346	2	2	2	2	2005	325	504	0.632336091661362
348	0	1	1	1	2005	325	393	0.622181912412542
350	1	1	1	3	2005	325	613	0.889861316817019
352	2	2	2	2	2005	325	735	1
354	2	3	2	3	2005	325	753	1
356	2	1	1	2	2005	325	612	1
358	2	2	2	2	2005	348	444	1
359	1	1	0	1	2005	348	486	1
360	2	0	2	2	2005	321	950	1
361	2	2	1	2	2005	328	336	1
362	1	1	2	2	2005	321	966	1
364	0	1	0	1	2005	325	690	1
367	2	2	2	6	2005	326	376	1
368	0	1	1	1	2005	325	525	1
369	2	2	2	2	2005	328	406	0.0228845130388505
370	2	1	1	2	2005	325	530	0.999745385105029
371	4	4	4	5	2005	326	334	1
374	1	0	0	1	2005	321	965	0.824907521578298
375	3	2	3	5	2005	326	457	1
376	1	1	0	2	2005	321	360	0.0733757961783439
377	2	2	5	5	2005	326	269	1
378	2	4	2	4	2005	321	493	0.141783439490446
380	1	0	1	1	2005	321	558	0.134852922450019
382	2	2	2	2	2005	321	567	0.141799232035107
384	1	3	0	3	2005	321	533	0.139854795567444
386	2	1	2	2	2005	321	451	0.142875334267159
388	0	0	1	1	2005	325	300	0.0262463115390589
390	1	2	3	3	2005	325	296	0.120550458715596
392	1	0	2	3	2005	321	795	0.202670971529205
400	4	4	4	4	2005	326	191	0
401	1	1	1	2	2005	328	315	1
402	1	3	3	3	2005	328	164	1
403	1	1	3	3	2005	326	254	1
404	3	1	2	3	2005	326	265	1
405	3	2	4	4	2005	326	403	1
408	4	5	5	6	2005	326	332	1
409	5	3	3	5	2005	326	354	1
411	0	2	2	2	2005	326	204	0
412	1	2	1	2	2005	326	179	0
420	1	1	1	2	2005	328	320	1
421	3	3	2	4	2005	328	274	1
422	1	2	0	2	2005	328	258	0
423	2	0	0	2	2005	328	273	0
424	2	3	1	3	2005	328	402	0
425	0	0	1	1	2005	328	332	0
426	0	1	3	3	2005	328	282	0
427	2	2	1	2	2005	328	329	0
428	2	2	1	2	2005	328	397	0.00209863588667366
430	4	2	0	4	2005	333	174	1
431	2	3	2	3	2005	333	209	1
432	1	1	2	2	2005	333	158	1
433	0	0	1	1	2005	333	186	0.403314917127072
434	2	3	1	3	2005	333	258	1
435	3	3	2	3	2005	333	172	1
436	1	1	2	2	2005	333	151	0.949152542372881
437	1	1	2	3	2005	333	170	0.497674418604651
438	2	1	1	2	2005	333	143	0.602040816326531
451	1	1	0	1	2005	333	263	0.864197530864197
452	1	1	1	1	2005	333	225	0.564516129032258
460	1	1	2	2	2005	335	345	0.94256120527307
461	1	3	2	3	2005	335	345	0.658771929824561
462	1	1	0	2	2005	335	329	0.900558659217877
463	4	3	2	4	2005	335	341	0.894277400581959
464	1	2	0	2	2005	335	316	1
467	1	1	1	2	2005	335	604	0.570093457943925
470	1	2	1	2	2005	335	291	0.258948545861298
471	2	2	2	3	2005	335	364	0.203898050974513
476	2	1	0	2	2005	335	148	0.190739167374681
477	4	4	4	4	2005	335	162	0.627848891664065
478	1	0	2	3	2005	335	398	0.140419947506562
