"";"Nom";"Annee";"Abroutissement";"Densite_lin";"Frequentation";"Altitude";"Pente";"Tirs";"X";"Y";"fabr";"lfrequentation";"resid.gam";"resid.gam.spat"
"4098";"SW BAUGES";2017;0;9,31154823303223;183;995,542724609375;21,8302001953125;2;940365,440046652;6512317,93406169;"0";5,21493575760899;-1,06809439899993;-1,05300444907331
"4113";"SW BAUGES";2017;0;8,84172058105469;73;1050,68371582031;25,1665153503418;4;940155,466579463;6512531,55627896;"0";4,30406509320417;-0,920841185903904;-0,91429493024677
"4133";"SW BAUGES";2017;0;3,42978072166443;21;1180,24987792969;21,0740146636963;2;940590,00890833;6513798,69522219;"0";3,09104245335832;-0,380261587996118;-0,385890976249797
"4134";"SW BAUGES";2017;0;7,77322959899902;50;1192,4072265625;26,155143737793;1;939728,222266397;6512111,60927788;"0";3,93182563272433;-0,929676202421987;-0,9350993253749
"4179";"SW BAUGES";2017;0;7,55457639694214;50;1114,37060546875;26,9368305206299;3;940159,115306261;6512955,15206242;"0";3,93182563272433;-0,932311551569359;-0,930762572678589
"4180";"SW BAUGES";2017;1;13,4515399932861;8829;883,465515136719;9,78384304046631;3;940126,277032319;6509142,79486959;"1";9,08591029359801;0,345883599705962;0,307309084935582
"4204";"SW BAUGES";2017;0;3,27457737922669;1369;1432,55004882812;11,7358417510986;1;938875,55859894;6511483,51291478;"0";7,22256601882217;-0,803946698826389;-0,815961495576182
"4214";"SW BAUGES";2017;0;8,95214462280273;20;1079,06860351563;20,2506713867188;1;939722,749403693;6511476,21604709;"0";3,04452243772342;-1,00680009830316;-0,972204697222344
"4247";"SW BAUGES";2017;1;8,62310981750488;121;1053,10046386719;23,2750949859619;6;939938,195741009;6511897,98719557;"1";4,80402104473326;1,02006220555579;1,02311958733775
"4259";"SW BAUGES";2017;0;8,10040378570557;97;1185,86901855469;23,4763088226318;3;939299,154005019;6511479,86454841;"0";4,58496747867057;-1,33860548609583;-1,31406614781219
"4276";"SW BAUGES";2017;1;9,61573696136475;10805;1116,98461914062;14,595775604248;0;939293,681361411;6510844,47161014;"1";9,28785681440401;0,649757669821654;0,677351157310008
"4278";"SW BAUGES";2017;0;5,51753377914429;79;1367,02673339844;4,50271272659302;0;939306,450889079;6512327,0556051;"0";4,38202663467388;-0,712066052685578;-0,710882224535198
"4306";"SW BAUGES";2017;0;2,42942881584168;43;1415,30737304687;12,29030418396;0;938877,382749702;6511695,31063204;"0";3,78418963391826;-0,328617933770904;-0,322857872222622
"4309";"SW BAUGES";2017;0;8,8935546875;117;1127,97216796875;24,1695518493652;0;939512,775957258;6511689,83802633;"0";4,77068462446567;-0,884180731434302;-0,866542227888484
"4326";"SW BAUGES";2017;0;9,35426235198975;2;1197,47412109375;17,5766181945801;0;939489,060826009;6508936,47040529;"0";1,09861228866811;-0,882125353272054;-0,97300108274228
