ID;X_L93;Y_L93
ID425;786450.876703;6381297.18568999
ID426;796450.876703;6381297.18568999
ID427;806450.876703;6381297.18568999
ID428;816450.876703;6381297.18568999
ID429;826450.876703;6381297.18568999
ID430;836450.876703;6381297.18568999
ID431;846450.876703;6381297.18568999
ID432;856450.876703;6381297.18568999
ID458;716450.876703;6371297.18568999
ID459;726450.876703;6371297.18568999
ID460;736450.876703;6371297.18568999
ID461;746450.876703;6371297.18568999
ID462;756450.876703;6371297.18568999
ID463;766450.876703;6371297.18568999
ID464;776450.876703;6371297.18568999
ID465;786450.876703;6371297.18568999
ID466;796450.876703;6371297.18568999
ID467;806450.876703;6371297.18568999
ID468;816450.876703;6371297.18568999
ID469;826450.876703;6371297.18568999
ID470;836450.876703;6371297.18568999
ID471;846450.876703;6371297.18568999
ID472;856450.876703;6371297.18568999
ID498;716537.77534604;6361362.85301388
ID499;726450.876703;6361297.18568999
ID500;736450.876703;6361297.18568999
ID501;746450.876703;6361297.18568999
ID502;756450.876703;6361297.18568999
ID503;766450.876703;6361297.18568999
ID504;776450.876703;6361297.18568999
ID505;786450.876703;6361297.18568999
ID506;796450.876703;6361297.18568999
ID507;806450.876703;6361297.18568999
ID508;816450.876703;6361297.18568999
ID509;826450.876703;6361297.18568999
ID510;836450.876703;6361297.18568999
ID511;846450.876703;6361297.18568999
ID538;717165.14907198;6352169.34856797
ID539;726450.876703;6351297.18568999
ID540;736450.876703;6351297.18568999
ID541;746450.876703;6351297.18568999
ID542;756450.876703;6351297.18568999
ID543;766450.876703;6351297.18568999
ID544;776450.876703;6351297.18568999
ID545;786450.876703;6351297.18568999
ID546;796450.876703;6351297.18568999
ID547;806450.876703;6351297.18568999
ID548;816450.876703;6351297.18568999
ID549;826450.876703;6351297.18568999
ID550;836450.876703;6351297.18568999
ID551;846450.876703;6351297.18568999
ID58;716956.91373991;6470607.55868951
ID580;736450.876703;6341297.18568999
ID581;746450.876703;6341297.18568999
ID582;756450.876703;6341297.18568999
ID583;766450.876703;6341297.18568999
ID584;776450.876703;6341297.18568999
ID585;786450.876703;6341297.18568999
ID586;796450.876703;6341297.18568999
ID587;806450.876703;6341297.18568999
ID588;816450.876703;6341297.18568999
ID589;826450.876703;6341297.18568999
ID59;726450.876703;6471297.18568999
ID590;836450.876703;6341297.18568999
ID591;846450.876703;6341297.18568999
ID619;727639.05389612;6332463.48060244
ID620;736536.10175159;6331394.78234833
ID621;746450.876703;6331297.18568999
ID622;756450.876703;6331297.18568999
ID623;766450.876703;6331297.18568999
ID624;776450.876703;6331297.18568999
ID625;786450.876703;6331297.18568999
ID626;796450.876703;6331297.18568999
ID627;806450.876703;6331297.18568999
ID628;816450.876703;6331297.18568999
ID629;826450.876703;6331297.18568999
ID630;836450.876703;6331297.18568999
ID631;846450.876703;6331297.18568999
ID632;856450.876703;6331297.18568999
ID633;866450.876703;6331297.18568999
ID660;737388.2501635;6320698.51779166
ID661;746450.876703;6321297.18568999
ID662;756450.876703;6321297.18568999
ID663;766450.876703;6321297.18568999
ID664;776450.876703;6321297.18568999
ID665;786450.876703;6321297.18568999
ID666;796450.876703;6321297.18568999
ID667;806450.876703;6321297.18568999
ID668;816450.876703;6321297.18568999
ID669;826450.876703;6321297.18568999
ID670;836450.876703;6321297.18568999
ID671;846450.876703;6321297.18568999
ID672;856450.876703;6321297.18568999
ID699;727433.68836237;6309921.63988832
ID70;835725.46179274;6470072.60479043
ID700;736450.876703;6311297.18568999
ID701;746450.876703;6311297.18568999
ID702;756450.876703;6311297.18568999
ID703;766450.876703;6311297.18568999
ID704;776450.876703;6311297.18568999
ID705;786450.876703;6311297.18568999
ID706;796450.876703;6311297.18568999
ID707;806450.876703;6311297.18568999
ID708;816450.876703;6311297.18568999
ID709;826450.876703;6311297.18568999
ID710;836450.876703;6311297.18568999
ID711;846450.876703;6311297.18568999
ID712;856450.876703;6311297.18568999
ID713;866450.876703;6311297.18568999
ID738;717014.35991731;6299751.55222558
ID739;726450.876703;6301297.18568999
ID740;736450.876703;6301297.18568999
ID741;746450.876703;6301297.18568999
ID742;756450.876703;6301297.18568999
ID743;766450.876703;6301297.18568999
ID744;776450.876703;6301297.18568999
ID745;786450.876703;6301297.18568999
ID746;796450.876703;6301297.18568999
ID747;806450.876703;6301297.18568999
ID748;816450.876703;6301297.18568999
ID749;826450.876703;6301297.18568999
ID750;836450.876703;6301297.18568999
ID751;846450.876703;6301297.18568999
ID752;856450.876703;6301297.18568999
ID777;707640.4673092;6290922.71265127
ID778;716450.876703;6291297.18568999
ID779;726450.876703;6291297.18568999
ID780;736450.876703;6291297.18568999
ID781;746450.876703;6291297.18568999
ID782;756450.876703;6291297.18568999
ID783;766450.876703;6291297.18568999
ID784;776450.876703;6291297.18568999
ID785;786450.876703;6291297.18568999
ID786;796450.876703;6291297.18568999
ID787;806450.876703;6291297.18568999
ID788;816450.876703;6291297.18568999
ID789;826450.876703;6291297.18568999
ID790;836450.876703;6291297.18568999
ID791;846450.876703;6291297.18568999
ID792;856450.876703;6291297.18568999
ID793;866450.876703;6291297.18568999
ID814;675771.17215329;6279511.86858002
ID815;687001.87389181;6279373.44736932
ID816;696629.8794318;6281125.62823007
ID817;706450.876703;6281297.18568999
ID818;716450.876703;6281297.18568999
ID819;726450.876703;6281297.18568999
ID820;736450.876703;6281297.18568999
ID821;746450.876703;6281297.18568999
ID822;756450.876703;6281297.18568999
ID823;766450.876703;6281297.18568999
ID824;776450.876703;6281297.18568999
ID825;786450.876703;6281297.18568999
ID826;796450.876703;6281297.18568999
ID827;806450.876703;6281297.18568999
ID828;816450.876703;6281297.18568999
ID829;826450.876703;6281297.18568999
ID830;836450.876703;6281297.18568999
ID831;846450.876703;6281297.18568999
ID832;856450.876703;6281297.18568999
ID833;866450.876703;6281297.18568999
ID835;886450.876703;6281297.18568999
ID854;676656.10264083;6271432.42001691
ID855;686450.876703;6271297.18568999
ID856;696450.876703;6271297.18568999
ID857;706450.876703;6271297.18568999
ID858;716450.876703;6271297.18568999
ID859;726450.876703;6271297.18568999
ID860;736450.876703;6271297.18568999
ID861;746450.876703;6271297.18568999
ID862;756450.876703;6271297.18568999
ID863;766394.23090658;6271355.40428587
ID864;775677.32062808;6273264.18945367
ID866;796492.98560494;6271301.86865481
ID867;806450.876703;6271297.18568999
ID868;816450.876703;6271297.18568999
ID869;826450.876703;6271297.18568999
ID870;836450.876703;6271297.18568999
ID871;846450.876703;6271297.18568999
ID872;856450.876703;6271297.18568999
ID894;676607.3903479;6261186.8570125
ID895;686450.876703;6261297.18568999
ID896;696450.876703;6261297.18568999
ID897;706450.876703;6261297.18568999
ID898;716450.876703;6261297.18568999
ID899;726450.876703;6261297.18568999
ID900;736450.876703;6261297.18568999
ID901;746450.876703;6261297.18568999
ID902;756225.47116952;6261531.44564704
ID909;827654.53017537;6262767.69359332
ID910;836450.876703;6261297.18568999
ID911;846192.51610528;6261465.04023293
ID912;856587.4669561;6263029.51805799
ID913;864800.06718746;6260308.64841683
ID927;606994.63908873;6251012.54663822
ID928;616457.53603507;6251290.51975301
ID929;626441.4591477;6251170.52762632
ID930;636496.70543175;6251064.18822982
ID931;646450.876703;6251297.18568999
ID932;656450.876703;6251297.18568999
ID933;666450.876703;6251297.18568999
ID934;676450.876703;6251297.18568999
ID935;686450.876703;6251297.18568999
ID936;696450.876703;6251297.18568999
ID937;706450.876703;6251297.18568999
ID938;716450.876703;6251297.18568999
ID939;726450.876703;6251297.18568999
ID940;736450.876703;6251297.18568999
ID941;745556.81090355;6252122.94113147
ID951;846532.7127931;6253405.86983914
ID953;867336.5381751;6253348.0601912
ID967;606450.876703;6241297.18568999
ID968;616450.876703;6241297.18568999
ID969;626450.876703;6241297.18568999
ID970;636450.876703;6241297.18568999
ID971;646450.876703;6241297.18568999
ID972;656450.876703;6241297.18568999
ID973;666450.876703;6241297.18568999
ID974;676450.876703;6241297.18568999
ID975;686450.876703;6241297.18568999
ID976;696450.876703;6241297.18568999
ID977;706450.876703;6241297.18568999
ID978;716446.65008898;6241301.42311715
ID979;725601.72055064;6242934.30519641
