;species;xcoord;ycoord
17427;TIMLEP;706287.6425;6158154.282
17428;TIMLEP;706743.4512;6155921.672
17429;TIMLEP;710113.705;6155364.859
17430;TIMLEP;705918.4728;6157025.616
17431;TIMLEP;705805.574;6156888.271
17432;TIMLEP;706331.7696;6156388.372
17433;TIMLEP;709718.6441;6156936.069
17434;TIMLEP;709920.2683;6155554.671
17435;TIMLEP;710214.761;6155916.676
17436;TIMLEP;669389.6396;6185467.604
17437;TIMLEP;729340.6174;6284083.059
17438;TIMLEP;761469.56;6298767.087
17439;TIMLEP;758916.887;6313381.706
17440;TIMLEP;727866.1523;6289897.101
17441;TIMLEP;766135.0783;6272253.607
17442;TIMLEP;687355.0459;6167447.552
17443;TIMLEP;687319.1097;6167400.965
17444;TIMLEP;687333.0533;6167345.084
17445;TIMLEP;683581.3272;6181424.28
17446;TIMLEP;725611.1375;6288388.223
17447;TIMLEP;709993.6956;6155267.622
17448;TIMLEP;783160.7677;6300558.994
17449;TIMLEP;692192.5289;6188150.665
17450;TIMLEP;758140.0473;6261899.754
17451;TIMLEP;758613.9928;6261952.677
17452;TIMLEP;757989.6503;6262069.849
17453;TIMLEP;760907.5315;6297779.868
17454;TIMLEP;688219.3174;6190288.618
17455;TIMLEP;687003.4038;6187021.306
17456;TIMLEP;688526.6474;6189064.741
17457;TIMLEP;688576.5241;6189020.168
17458;TIMLEP;690665.2062;6193242.792
17459;TIMLEP;691352.4031;6193653.304
17460;TIMLEP;696281.3775;6213497.553
17461;TIMLEP;695322.0144;6222570.97
17462;TIMLEP;685606.7735;6181174.272
17463;TIMLEP;697174.6208;6235499.781
17464;TIMLEP;695665.6301;6231954.195
17465;TIMLEP;694786.2969;6236046.017
17466;TIMLEP;694538.3729;6236090.691
17467;TIMLEP;694995.9909;6221337.086
17468;TIMLEP;693511.9278;6196786.788
17469;TIMLEP;688300.5982;6193124.311
17470;TIMLEP;695621.1408;6215577.204
17471;TIMLEP;696197.5471;6215221.035
17472;TIMLEP;695187.7416;6216233.523
17473;TIMLEP;694771.2724;6221559.631
17474;TIMLEP;694803.1134;6221637.433
17475;TIMLEP;695566.2063;6223438.017
17476;TIMLEP;695327.9606;6224027.447
17477;TIMLEP;697066.8141;6236222.444
17478;TIMLEP;699640.5343;6204634.341
17479;TIMLEP;688633.544;6193501.824
17480;TIMLEP;688741.2985;6193345.944
17481;TIMLEP;688778.52;6193101.222
17482;TIMLEP;689039.4969;6193523.364
17483;TIMLEP;697782.2482;6207926.122
17484;TIMLEP;696725.8254;6205091.072
17485;TIMLEP;697580.2722;6207158.948
17486;TIMLEP;697344.6952;6204245.685
17487;TIMLEP;697603.3326;6207681.557
17488;TIMLEP;696428.7188;6212908.161
17489;TIMLEP;688053.8444;6187586.47
17490;TIMLEP;689221.708;6188440.757
17491;TIMLEP;697910.4125;6202777.655
17492;TIMLEP;696771.2987;6202911.563
17493;TIMLEP;686124.5763;6183664.427
17494;TIMLEP;686351.9169;6183808.526
